State;House_id;Weight;House_relation;Sex;Age;Race;Marriage;Education;Ancestry;Language;Employment_status;Traveltime;Industry;Occupation;Hours;Weeks;Salary;Income;Earnings
Arizona;3764173;0040;03;1;27;9;3;09;211;1;6;000;538;562;04;40;002800;0002800;0002800
Arizona;3764173;0032;03;1;22;9;5;07;211;1;6;000;077;626;12;40;001200;0001200;0001200
Arizona;3771290;0024;01;1;45;1;1;03;210;3;1;035;077;624;52;40;016000;0016000;0016000
Arizona;3771290;0024;02;2;44;1;1;01;210;3;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3771290;0029;03;1;22;1;5;09;210;3;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3771290;0029;03;1;20;1;5;09;210;2;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3771290;0022;03;1;15;1;5;04;210;3;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3771290;0021;03;2;13;1;5;04;210;3;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3771290;0019;03;1;11;1;5;03;999;3;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3771290;0021;08;1;00;1;5;00;999;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3772040;0057;22;2;26;1;2;11;999;0;6;000;907;474;10;36;002600;0009600;0002600
Arizona;3777202;0041;23;2;18;1;5;10;089;0;6;000;787;581;32;22;001300;0001300;0001300
Arizona;3779019;0024;23;2;21;1;5;11;032;0;3;000;819;476;00;00;000000;0000000;0000000
Arizona;3780722;0008;01;1;55;1;3;09;022;0;1;010;768;392;50;30;011200;0011200;0011200
Arizona;3780722;0007;03;1;21;1;5;11;998;0;1;000;707;623;20;12;001400;0001400;0001400
Arizona;3780722;0006;17;2;26;1;5;14;144;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3780722;0005;17;2;25;6;5;11;740;1;6;000;907;472;00;00;000000;0000000;0000000
Arizona;3785765;0024;01;1;36;1;1;10;089;0;1;020;887;524;52;40;029100;0029100;0029100
Arizona;3785765;0019;02;2;28;1;1;13;111;0;1;020;298;154;52;32;013600;0013600;0013600
Arizona;3786686;0021;01;1;30;8;1;13;213;1;1;010;786;231;34;45;032600;0032600;0032600
Arizona;3786686;0019;02;2;29;8;1;10;211;1;3;000;708;524;06;28;002000;0002000;0002000
Arizona;3786686;0029;03;1;08;8;5;02;211;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3786686;0021;03;1;02;8;5;00;211;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3799403;0018;01;2;30;1;1;06;210;2;1;030;559;964;00;00;000000;0000000;0000000
Arizona;3799403;0022;02;1;32;1;1;01;210;1;6;000;017;913;48;50;027100;0027100;0027100
Arizona;3799403;0021;03;1;09;1;5;02;999;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3799403;0021;03;1;08;1;5;02;999;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3799403;0021;03;1;03;1;5;01;999;0;0;000;000;000;00;00;000000;0000000;0000000
